Label,P6:string,P5:string,P7:url,P2:wikibase-item,P3:wikibase-item,Description
Joel Dorn,Joel_Dorn,http://dbpedia.org/resource/Joel_Dorn,https://linkedjazz.org/image/square/Joel_Dorn.png,Q29,Q32,
Benny Carter,Benny_Carter,http://dbpedia.org/resource/Benny_Carter,https://linkedjazz.org/image/square/Benny_Carter.png,Q29,Q32,
Julie London,Julie_London,http://dbpedia.org/resource/Julie_London,https://linkedjazz.org/image/square/Julie_London.png,Q29,Q32,
Freddy Mendelsohn,Freddy_Mendelsohn,,https://linkedjazz.org/image/square/Freddy_Mendelsohn.png,Q29,Q32,
Louis Armstrong,Louis_Armstrong,http://dbpedia.org/resource/Louis_Armstrong,https://linkedjazz.org/image/square/Louis_Armstrong.png,Q29,Q32,
Tommy Dorsey,Tommy_Dorsey,http://dbpedia.org/resource/Tommy_Dorsey,https://linkedjazz.org/image/square/Tommy_Dorsey.png,Q29,Q32,
Bill Cook,Bill_Cook,,https://linkedjazz.org/image/square/Bill_Cook.png,Q29,Q32,
Betty Carter,Betty_Carter,http://dbpedia.org/resource/Betty_Carter,https://linkedjazz.org/image/square/Betty_Carter.png,Q29,Q32,
Syd Nathan,Syd_Nathan,http://dbpedia.org/resource/Syd_Nathan,https://linkedjazz.org/image/square/Syd_Nathan.png,Q29,Q32,
Ray Charles,Ray_Charles,http://dbpedia.org/resource/Ray_Charles,https://linkedjazz.org/image/square/Ray_Charles.png,Q29,Q32,
Johnnie Ray,Johnnie_Ray,http://dbpedia.org/resource/Johnnie_Ray,https://linkedjazz.org/image/square/Johnnie_Ray.png,Q29,Q32,
Doc Pomus,Doc_Pomus,http://dbpedia.org/resource/Doc_Pomus,https://linkedjazz.org/image/square/Doc_Pomus.png,Q29,Q32,
David Lynch,David_Lynch,http://dbpedia.org/resource/David_Lynch,https://linkedjazz.org/image/square/David_Lynch.png,Q29,Q32,
Little Willie John,Little_Willie_John,http://dbpedia.org/resource/Little_Willie_John,https://linkedjazz.org/image/square/Little_Willie_John.png,Q29,Q32,
Dickie Sims,Dickie_Sims,,https://linkedjazz.org/image/square/Dickie_Sims.png,Q29,Q32,
Gerald Wilson,Gerald_Wilson,http://dbpedia.org/resource/Gerald_Wilson,https://linkedjazz.org/image/square/Gerald_Wilson.png,Q29,Q32,
Jim Scott,Jim_Scott,http://dbpedia.org/resource/Jim_Scott_(musician),https://linkedjazz.org/image/square/Jim_Scott_(musician).png,Q29,Q32,
Earl Hines,Earl_Hines,http://dbpedia.org/resource/Earl_Hines,https://linkedjazz.org/image/square/Earl_Hines.png,Q29,Q32,
Joe Adams,Joe_Adams,,https://linkedjazz.org/image/square/Joe_Adams.png,Q29,Q32,
Lem Neal,Lem_Neal,,https://linkedjazz.org/image/square/Lem_Neal.png,Q29,Q32,
Judy Garland,Judy_Garland,http://dbpedia.org/resource/Judy_Garland,https://linkedjazz.org/image/square/Judy_Garland.png,Q29,Q32,
Dexter Gordon,Dexter_Gordon,http://dbpedia.org/resource/Dexter_Gordon,https://linkedjazz.org/image/square/Dexter_Gordon.png,Q29,Q32,
Paul Robeson,Paul_Robeson,http://dbpedia.org/resource/Paul_Robeson,https://linkedjazz.org/image/square/Paul_Robeson.png,Q29,Q32,
Tommy LiPuma,Tommy_LiPuma,http://dbpedia.org/resource/Tommy_LiPuma,https://linkedjazz.org/image/square/Tommy_LiPuma.png,Q29,Q32,
Jimmie Lunceford,Jimmie_Lunceford,http://dbpedia.org/resource/Jimmie_Lunceford,https://linkedjazz.org/image/square/Jimmie_Lunceford.png,Q29,Q32,
Ella Fitzgerald,Ella_Fitzgerald,http://dbpedia.org/resource/Ella_Fitzgerald,https://linkedjazz.org/image/square/Ella_Fitzgerald.png,Q29,Q32,
James Brown,James_Brown,http://dbpedia.org/resource/James_Brown,https://linkedjazz.org/image/square/James_Brown.png,Q29,Q32,
Mary Ann Fisher,Mary_Ann_Fisher,,https://linkedjazz.org/image/square/Mary_Ann_Fisher.png,Q29,Q32,
Marty Paich,Marty_Paich,http://dbpedia.org/resource/Marty_Paich,https://linkedjazz.org/image/square/Marty_Paich.png,Q29,Q32,
Willard Alexander,Willard_Alexander,,https://linkedjazz.org/image/square/Willard_Alexander.png,Q29,Q32,
Woody Herman,Woody_Herman,http://dbpedia.org/resource/Woody_Herman,https://linkedjazz.org/image/square/Woody_Herman.png,Q29,Q32,
Charlie Shavers,Charlie_Shavers,http://dbpedia.org/resource/Charlie_Shavers,https://linkedjazz.org/image/square/Charlie_Shavers.png,Q29,Q32,
Harry Belafonte,Harry_Belafonte,http://dbpedia.org/resource/Harry_Belafonte,https://linkedjazz.org/image/square/Harry_Belafonte.png,Q29,Q32,
Russell Garcia,Russell_Garcia,http://dbpedia.org/resource/Russell_Garcia_(composer),https://linkedjazz.org/image/square/Russell_Garcia_(composer).png,Q29,Q32,
Johnny Richards,Johnny_Richards,http://dbpedia.org/resource/Johnny_Richards,https://linkedjazz.org/image/square/Johnny_Richards.png,Q29,Q32,
George Gershwin,George_Gershwin,http://dbpedia.org/resource/George_Gershwin,https://linkedjazz.org/image/square/George_Gershwin.png,Q29,Q32,
Ray Noble,Ray_Noble,http://dbpedia.org/resource/Ray_Noble,https://linkedjazz.org/image/square/Ray_Noble.png,Q29,Q32,
Albert Raymond Streit,Albert_Raymond_Streit,,https://linkedjazz.org/image/square/Albert_Raymond_Streit.png,Q29,Q32,
Gus Johnson,Gus_Johnson,http://dbpedia.org/resource/Gus_Johnson_(jazz_musician),https://linkedjazz.org/image/square/Gus_Johnson_(jazz_musician).png,Q29,Q32,
Norman Granz,Norman_Granz,http://dbpedia.org/resource/Norman_Granz,https://linkedjazz.org/image/square/Norman_Granz.png,Q29,Q32,
Ted Fiorito,Ted_Fiorito,http://dbpedia.org/resource/Ted_Fio_Rito,https://linkedjazz.org/image/square/Ted_Fio_Rito.png,Q29,Q32,
Bix Beiderbecke,Bix_Beiderbecke,http://dbpedia.org/resource/Bix_Beiderbecke,https://linkedjazz.org/image/square/Bix_Beiderbecke.png,Q29,Q32,
Stan Kenton,Stan_Kenton,http://dbpedia.org/resource/Stan_Kenton,https://linkedjazz.org/image/square/Stan_Kenton.png,Q29,Q32,
Buddy DeFranco,Buddy_DeFranco,http://dbpedia.org/resource/Buddy_DeFranco,https://linkedjazz.org/image/square/Buddy_DeFranco.png,Q29,Q32,
Jay Johnson,Jay_Johnson,http://dbpedia.org/resource/Jay_Johnson_(singer),https://linkedjazz.org/image/square/Jay_Johnson_(singer).png,Q29,Q32,
Freddie Green,Freddie_Green,http://dbpedia.org/resource/Freddie_Green,https://linkedjazz.org/image/square/Freddie_Green.png,Q29,Q32,
George Handy,George_Handy,http://dbpedia.org/resource/George_Handy,https://linkedjazz.org/image/square/George_Handy.png,Q29,Q32,
Gene Krupa,Gene_Krupa,http://dbpedia.org/resource/Gene_Krupa,https://linkedjazz.org/image/square/Gene_Krupa.png,Q29,Q32,
Carl Jefferson,Carl_Jefferson,http://dbpedia.org/resource/Carl_Jefferson,https://linkedjazz.org/image/square/Carl_Jefferson.png,Q29,Q32,
Boyd Raeburn,Boyd_Raeburn,http://dbpedia.org/resource/Boyd_Raeburn,https://linkedjazz.org/image/square/Boyd_Raeburn.png,Q29,Q32,
Jimmy Lewis,Jimmy_Lewis,http://dbpedia.org/resource/Jimmy_Lewis_(musician),https://linkedjazz.org/image/square/Jimmy_Lewis_(musician).png,Q29,Q32,
Dodo Marmarosa,Dodo_Marmarosa,http://dbpedia.org/resource/Dodo_Marmarosa,https://linkedjazz.org/image/square/Dodo_Marmarosa.png,Q29,Q32,
Glenn Miller,Glenn_Miller,http://dbpedia.org/resource/Glenn_Miller,https://linkedjazz.org/image/square/Glenn_Miller.png,Q29,Q32,
Jimmy Rushing,Jimmy_Rushing,http://dbpedia.org/resource/Jimmy_Rushing,https://linkedjazz.org/image/square/Jimmy_Rushing.png,Q29,Q32,
Chick Corea,Chick_Corea,http://dbpedia.org/resource/Chick_Corea,https://linkedjazz.org/image/square/Chick_Corea.png,Q29,Q32,
Johnnie Davis,Johnnie_Davis,http://dbpedia.org/resource/Johnnie_Davis,https://linkedjazz.org/image/square/Johnnie_Davis.png,Q29,Q32,
Lenny Lewis,Lenny_Lewis,,https://linkedjazz.org/image/square/Lenny_Lewis.png,Q29,Q32,
Zoot Sims,Zoot_Sims,http://dbpedia.org/resource/Zoot_Sims,https://linkedjazz.org/image/square/Zoot_Sims.png,Q29,Q32,
Wardell Gray,Wardell_Gray,http://dbpedia.org/resource/Wardell_Gray,https://linkedjazz.org/image/square/Wardell_Gray.png,Q29,Q32,
Charlie Barnet,Charlie_Barnet,http://dbpedia.org/resource/Charlie_Barnet,https://linkedjazz.org/image/square/Charlie_Barnet.png,Q29,Q32,
Johnny Mince,Johnny_Mince,http://dbpedia.org/resource/Johnny_Mince,https://linkedjazz.org/image/square/Johnny_Mince.png,Q29,Q32,
Joe Wilder,Joe_Wilder,http://dbpedia.org/resource/Joe_Wilder,https://linkedjazz.org/image/square/Joe_Wilder.png,Q29,Q32,
Rob Pronk,Rob_Pronk,,https://linkedjazz.org/image/square/Rob_Pronk.png,Q29,Q32,
Jack Silverman,Jack_Silverman,,https://linkedjazz.org/image/square/Jack_Silverman.png,Q29,Q32,
Ma Rainey,Ma_Rainey,http://dbpedia.org/resource/Ma_Rainey,https://linkedjazz.org/image/square/Ma_Rainey.png,Q29,Q32,
Bennie Moten,Bennie_Moten,http://dbpedia.org/resource/Bennie_Moten,https://linkedjazz.org/image/square/Bennie_Moten.png,Q29,Q32,
Albert Wynn,Albert_Wynn,,https://linkedjazz.org/image/square/Albert_Wynn.png,Q29,Q32,
Skitch Henderson,Skitch_Henderson,http://dbpedia.org/resource/Skitch_Henderson,https://linkedjazz.org/image/square/Skitch_Henderson.png,Q29,Q32,
Julius Blitz,Julius_Blitz,,https://linkedjazz.org/image/square/Julius_Blitz.png,Q29,Q32,
